Asset,TotalDebt,Equity,PaidUpCapital,Revenue,NetProfit,EarningPerShare,ROA,ROE,Period,Symbol
947.66,38.41,909.25,300.00,96.72,-22.15,-0.02,-2.31,-2.41,4Q2562,SLP
"1,005.72",96.68,909.04,300.00,115.51,-0.21,-0.00,-0.02,-0.02,1Q2563,SLP
"1,001.41",97.70,903.71,300.00,102.94,-5.33,-0.00,-0.53,-0.59,2Q2563,SLP
984.45,86.00,898.45,300.00,110.54,-5.26,-0.00,-0.53,-0.58,3Q2563,SLP
"1,009.10",122.73,886.37,300.00,92.89,-10.96,-0.01,-1.10,-1.23,4Q2563,SLP
"1,014.02",131.24,882.78,300.00,112.62,-3.59,-0.00,-0.35,-0.41,1Q2564,SLP
990.78,114.14,876.64,300.00,108.23,-6.13,-0.01,-0.61,-0.70,2Q2564,SLP
990.59,120.59,870.00,300.00,106.77,-6.64,-0.01,-0.67,-0.76,3Q2564,SLP
963.39,114.79,848.60,300.00,122.68,-21.47,-0.02,-2.20,-2.50,4Q2564,SLP
"1,008.64",155.99,852.66,300.00,158.79,4.06,0.00,0.41,0.48,1Q2565,SLP
981.14,134.63,846.51,300.00,121.75,-6.15,-0.01,-0.62,-0.72,2Q2565,SLP
946.72,114.89,831.83,300.00,116.32,-14.68,-0.01,-1.52,-1.75,3Q2565,SLP
"2,344.64",467.99,"1,876.65",530.00,641.31,78.59,0.15,3.36,4.28,1Q2556,SMIT
"2,298.97",450.30,"1,848.66",530.00,610.22,67.42,0.13,2.90,3.62,2Q2556,SMIT
"2,291.50",430.09,"1,861.41",530.00,589.90,65.75,0.13,2.86,3.54,3Q2556,SMIT
"2,249.47",335.65,"1,913.82",530.00,537.51,52.41,0.10,2.31,2.78,4Q2556,SMIT
"2,377.45",407.28,"1,970.18",530.00,562.92,53.48,0.10,2.31,2.75,1Q2557,SMIT
"2,211.42",276.84,"1,934.59",530.00,536.41,49.30,0.09,2.15,2.53,2Q2557,SMIT
