"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2021","2,251.16","2,255.34","2,257.70","2,245.12","2.68B","0.29%"
"10/20/2021","2,244.72","2,239.24","2,247.95","2,236.64","2.60B","0.46%"
"10/19/2021","2,234.44","2,261.50","2,263.41","2,228.42","3.77B","-0.88%"
"10/18/2021","2,254.30","2,250.77","2,261.69","2,247.40","2.80B","0.37%"
"10/15/2021","2,245.90","2,254.73","2,263.08","2,239.55","3.23B","-0.04%"
"10/14/2021","2,246.79","2,257.48","2,259.19","2,241.03","3.80B","-0.22%"
"10/12/2021","2,251.71","2,254.46","2,257.75","2,242.19","3.87B","0.64%"
"10/11/2021","2,237.28","2,251.60","2,256.83","2,231.50","3.83B","-0.32%"
"10/08/2021","2,244.40","2,249.48","2,253.71","2,238.32","4.26B","0.35%"
"10/07/2021","2,236.62","2,227.62","2,244.74","2,222.85","5.27B","0.85%"
"10/06/2021","2,217.77","2,230.59","2,237.45","2,213.60","4.08B","-0.42%"
"10/05/2021","2,227.06","2,206.87","2,231.25","2,205.17","3.66B","0.74%"
"10/04/2021","2,210.60","2,205.33","2,219.35","2,204.00","3.22B","0.65%"
"10/01/2021","2,196.30","2,186.35","2,202.71","2,178.12","3.42B","0.09%"
"09/30/2021","2,194.43","2,210.69","2,218.09","2,186.83","4.29B","-0.80%"
"09/29/2021","2,212.02","2,194.85","2,221.62","2,193.56","3.73B","-0.05%"
"09/28/2021","2,213.16","2,223.58","2,228.55","2,208.91","3.99B","-0.24%"
"09/27/2021","2,218.44","2,242.47","2,247.02","2,212.07","5.81B","-0.68%"
"09/23/2021","2,233.71","2,232.46","2,241.49","2,217.86","5.85B","1.01%"
"09/22/2021","2,211.35","2,205.29","2,219.15","2,199.49","2.77B","0.22%"
"09/21/2021","2,206.52","2,192.77","2,212.10","2,174.23","2.46B","0.75%"
"09/20/2021","2,190.10","2,209.54","2,214.79","2,185.58","2.38B","-1.51%"
"09/17/2021","2,223.59","2,231.46","2,235.81","2,210.73","3.47B","-0.34%"
"09/16/2021","2,231.27","2,233.29","2,237.00","2,224.05","2.52B","0.32%"
"09/15/2021","2,224.25","2,220.83","2,229.82","2,214.59","2.06B","0.17%"
